ObjectId,service_date,line,estimated_boardings
102,2020/07/09 04:00:00+00,Kingston,884.5
103,2020/07/09 04:00:00+00,Needham,400
104,2020/07/09 04:00:00+00,Fitchburg,710
105,2020/07/09 04:00:00+00,Greenbush,372
106,2020/07/09 04:00:00+00,Fairmount,339.5
107,2020/07/10 04:00:00+00,Providence/Stoughton,2269.5
108,2020/07/10 04:00:00+00,Newburyport/Rockport,1418.5
109,2020/07/10 04:00:00+00,Framingham/Worcester,544.5
110,2020/07/10 04:00:00+00,Franklin/Foxboro,1325.5
111,2020/07/10 04:00:00+00,Middleborough/Lakeville,944
112,2020/07/10 04:00:00+00,Lowell,950.5
113,2020/07/10 04:00:00+00,Haverhill,693
114,2020/07/10 04:00:00+00,Kingston,796.5
115,2020/07/10 04:00:00+00,Needham,548
116,2020/07/10 04:00:00+00,Fitchburg,543
117,2020/07/10 04:00:00+00,Greenbush,367
118,2020/07/10 04:00:00+00,Fairmount,402
119,2020/07/13 04:00:00+00,Providence/Stoughton,2514.5
120,2020/07/13 04:00:00+00,Newburyport/Rockport,1504
121,2020/07/13 04:00:00+00,Framingham/Worcester,1271.5
122,2020/07/13 04:00:00+00,Franklin/Foxboro,1243
123,2020/07/13 04:00:00+00,Middleborough/Lakeville,826.5
124,2020/07/13 04:00:00+00,Lowell,870.5
125,2020/07/13 04:00:00+00,Haverhill,635
126,2020/07/13 04:00:00+00,Kingston,727
127,2020/07/13 04:00:00+00,Needham,543
128,2020/07/13 04:00:00+00,Fitchburg,534
129,2020/07/13 04:00:00+00,Greenbush,281
130,2020/07/13 04:00:00+00,Fairmount,293.5
131,2020/07/14 04:00:00+00,Providence/Stoughton,2601
132,2020/07/14 04:00:00+00,Newburyport/Rockport,1555
133,2020/07/14 04:00:00+00,Framingham/Worcester,1325
134,2020/07/14 04:00:00+00,Franklin/Foxboro,1299
135,2020/07/14 04:00:00+00,Middleborough/Lakeville,995.5
136,2020/07/14 04:00:00+00,Lowell,931.5
137,2020/07/14 04:00:00+00,Haverhill,747
138,2020/07/14 04:00:00+00,Kingston,786.5
139,2020/07/14 04:00:00+00,Needham,557
140,2020/07/14 04:00:00+00,Fitchburg,573
141,2020/07/14 04:00:00+00,Greenbush,334
142,2020/07/14 04:00:00+00,Fairmount,366.5
143,2020/07/15 04:00:00+00,Providence/Stoughton,2813
144,2020/07/15 04:00:00+00,Newburyport/Rockport,1568
145,2020/07/15 04:00:00+00,Framingham/Worcester,1261.5
146,2020/07/15 04:00:00+00,Franklin/Foxboro,1519
147,2020/07/15 04:00:00+00,Middleborough/Lakeville,914
148,2020/07/15 04:00:00+00,Lowell,1037
149,2020/07/15 04:00:00+00,Haverhill,705
150,2020/07/15 04:00:00+00,Kingston,808
151,2020/06/26 04:00:00+00,Framingham/Worcester,212
152,2020/06/26 04:00:00+00,Franklin/Foxboro,569
153,2020/06/26 04:00:00+00,Middleborough/Lakeville,822
154,2020/06/26 04:00:00+00,Lowell,677.5
155,2020/06/26 04:00:00+00,Haverhill,493.5
156,2020/06/26 04:00:00+00,Kingston,498.5
157,2020/06/26 04:00:00+00,Needham,263
158,2020/06/26 04:00:00+00,Fitchburg,368.5
159,2020/06/26 04:00:00+00,Greenbush,291
160,2020/06/26 04:00:00+00,Fairmount,212
161,2020/06/29 04:00:00+00,Providence/Stoughton,1393
162,2020/06/29 04:00:00+00,Newburyport/Rockport,1233
163,2020/06/29 04:00:00+00,Framingham/Worcester,201
164,2020/06/29 04:00:00+00,Franklin/Foxboro,595.5
165,2020/06/29 04:00:00+00,Middleborough/Lakeville,700.5
166,2020/06/29 04:00:00+00,Lowell,661.5
167,2020/06/29 04:00:00+00,Haverhill,520.5
168,2020/06/29 04:00:00+00,Kingston,561
169,2020/06/29 04:00:00+00,Needham,247
170,2020/06/29 04:00:00+00,Fitchburg,516
171,2020/06/29 04:00:00+00,Greenbush,298
172,2020/06/29 04:00:00+00,Fairmount,201
173,2020/06/30 04:00:00+00,Providence/Stoughton,1552.5
174,2020/06/30 04:00:00+00,Newburyport/Rockport,1135
175,2020/06/30 04:00:00+00,Framingham/Worcester,201
176,2020/06/30 04:00:00+00,Franklin/Foxboro,726
177,2020/06/30 04:00:00+00,Middleborough/Lakeville,840
178,2020/06/30 04:00:00+00,Lowell,675
179,2020/06/30 04:00:00+00,Haverhill,559.5
180,2020/06/30 04:00:00+00,Kingston,567
181,2020/06/30 04:00:00+00,Needham,283.5
182,2020/06/30 04:00:00+00,Fitchburg,447
183,2020/06/30 04:00:00+00,Greenbush,243
184,2020/06/30 04:00:00+00,Fairmount,243
185,2020/07/01 04:00:00+00,Providence/Stoughton,1792
186,2020/07/01 04:00:00+00,Newburyport/Rockport,1269.5
187,2020/07/01 04:00:00+00,Framingham/Worcester,201
188,2020/07/01 04:00:00+00,Franklin/Foxboro,878
189,2020/07/01 04:00:00+00,Middleborough/Lakeville,828.5
190,2020/07/01 04:00:00+00,Lowell,714
191,2020/07/01 04:00:00+00,Haverhill,590.5
192,2020/07/01 04:00:00+00,Kingston,542
193,2020/07/01 04:00:00+00,Needham,336
194,2020/07/01 04:00:00+00,Fitchburg,503.5
195,2020/07/01 04:00:00+00,Greenbush,278
196,2020/07/01 04:00:00+00,Fairmount,266
197,2020/07/02 04:00:00+00,Providence/Stoughton,1971.5
198,2020/07/02 04:00:00+00,Newburyport/Rockport,1284
